,id_hecho,fecha,año,mes,dia,rol,victima,sexo,edad,fecha_fallecimiento
456,2019-0025,2019-03-22,2019,3,22,PEATON,PEATON,MASCULINO,27,2019-04-04
457,2019-0026,2019-03-28,2019,3,28,PEATON,PEATON,MASCULINO,0,2019-03-28
458,2019-0027,2019-03-28,2019,3,28,CICLISTA,BICICLETA,MASCULINO,37,2019-03-28
459,2019-0028,2019-04-06,2019,4,6,PEATON,PEATON,FEMENINO,0,2019-04-06
460,2019-0029,2019-04-07,2019,4,7,CONDUCTOR,MOTO,MASCULINO,27,2019-04-07
461,2019-0030,2019-04-09,2019,4,9,CONDUCTOR,MOTO,MASCULINO,25,2019-04-09
462,2019-0031,2019-04-12,2019,4,12,CICLISTA,BICICLETA,MASCULINO,20,2019-04-12
463,2019-0032,2019-04-16,2019,4,16,PEATON,PEATON,FEMENINO,83,2019-04-18
464,2019-0033,2019-04-18,2019,4,18,CONDUCTOR,MOTO,MASCULINO,25,2019-04-18
465,2019-0034,2019-04-21,2019,4,21,CONDUCTOR,MOTO,MASCULINO,0,2019-04-21
466,2019-0035,2019-04-23,2019,4,23,PEATON,PEATON,FEMENINO,75,2019-04-23
467,2019-0036,2019-04-26,2019,4,26,CONDUCTOR,MOTO,MASCULINO,34,2019-05-02
468,2019-0037,2019-05-01,2019,5,1,CONDUCTOR,MOTO,MASCULINO,17,2019-05-01
469,2019-0038,2019-05-04,2019,5,4,PEATON,PEATON,FEMENINO,42,2019-05-05
470,2019-0105,2019-05-05,2019,5,5,PEATON,PEATON,FEMENINO,82,2019-05-08
471,2019-0039,2019-05-09,2019,5,9,CONDUCTOR,MOTO,MASCULINO,28,2019-05-09
472,2019-0040,2019-05-09,2019,5,9,CONDUCTOR,MOTO,MASCULINO,44,2019-05-15
473,2019-0041,2019-05-11,2019,5,11,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,78,2019-05-11
474,2019-0042,2019-05-14,2019,5,14,PEATON,PEATON,MASCULINO,39,2019-05-14
475,2019-0043,2019-05-21,2019,5,21,CICLISTA,BICICLETA,FEMENINO,0,2019-05-21
476,2019-0044,2019-05-27,2019,5,27,PEATON,PEATON,FEMENINO,77,2019-05-29
477,2019-0045,2019-06-03,2019,6,3,CONDUCTOR,MOTO,MASCULINO,33,2019-06-03
478,2019-0046,2019-06-04,2019,6,4,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,26,2019-06-04
479,2019-0047,2019-06-06,2019,6,6,PEATON,PEATON,MASCULINO,76,2019-06-06
480,2019-0048,2019-06-07,2019,6,7,CONDUCTOR,MOTO,MASCULINO,32,2019-06-07
481,2019-0049,2019-06-08,2019,6,8,PEATON,PEATON,FEMENINO,72,2019-06-09
482,2019-0050,2019-06-08,2019,6,8,CONDUCTOR,MOTO,MASCULINO,21,2019-06-09
483,2019-0051,2019-06-11,2019,6,11,CONDUCTOR,MOTO,MASCULINO,41,2019-06-11
484,2019-0053,2019-06-14,2019,6,14,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,49,2019-06-14
485,2019-0054,2019-06-20,2019,6,20,CONDUCTOR,MOTO,MASCULINO,21,2019-06-20
486,2019-0055,2019-06-20,2019,6,20,CONDUCTOR,MOTO,MASCULINO,47,2019-06-21
487,2019-0056,2019-06-29,2019,6,29,PEATON,PEATON,FEMENINO,75,2019-06-29
488,2019-0057,2019-07-05,2019,7,5,PEATON,PEATON,FEMENINO,63,2019-07-08
489,2019-0058,2019-07-10,2019,7,10,CONDUCTOR,MOTO,MASCULINO,39,2019-07-10
490,2019-0059,2019-07-13,2019,7,13,CONDUCTOR,MOTO,MASCULINO,30,2019-07-13
491,2019-0060,2019-07-17,2019,7,17,PEATON,PEATON,FEMENINO,78,2019-07-17
492,2019-0061,2019-07-17,2019,7,17,PEATON,PEATON,FEMENINO,58,2019-07-17
493,2019-0062,2019-08-01,2019,8,1,PEATON,PEATON,FEMENINO,60,2019-08-02
494,2019-0063,2019-08-04,2019,8,4,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,0,2019-08-04
495,2019-0064,2019-08-06,2019,8,6,CONDUCTOR,MOTO,MASCULINO,20,2019-08-06
496,2019-0065,2019-08-08,2019,8,8,PEATON,PEATON,FEMENINO,55,2019-08-09
497,2019-0066,2019-08-11,2019,8,11,PEATON,PEATON,MASCULINO,40,2019-08-11
498,2019-0067,2019-08-14,2019,8,14,CONDUCTOR,MOTO,MASCULINO,35,2019-08-14
499,2019-0068,2019-08-14,2019,8,14,CONDUCTOR,MOTO,MASCULINO,53,2019-08-14
500,2019-0069,2019-08-17,2019,8,17,CONDUCTOR,MOTO,MASCULINO,43,2019-08-17
501,2019-0070,2019-08-22,2019,8,22,CONDUCTOR,MOTO,MASCULINO,25,2019-08-22
502,2019-0071,2019-08-27,2019,8,27,PEATON,PEATON,MASCULINO,0,2019-08-27
503,2019-0072,2019-08-28,2019,8,28,CONDUCTOR,AUTO,MASCULINO,22,2019-09-02
504,2019-0073,2019-08-29,2019,8,29,CONDUCTOR,AUTO,MASCULINO,29,2019-09-06
505,2019-0074,2019-08-29,2019,8,29,CONDUCTOR,MOTO,MASCULINO,35,2019-08-29
506,2019-0075,2019-08-30,2019,8,30,CONDUCTOR,MOTO,MASCULINO,31,2019-08-30
507,2019-0076,2019-09-05,2019,9,5,CONDUCTOR,MOTO,FEMENINO,29,2019-09-05
508,2019-0077,2019-09-08,2019,9,8,PEATON,PEATON,FEMENINO,28,2019-09-08
509,2019-0078,2019-09-12,2019,9,12,PEATON,PEATON,FEMENINO,72,2019-09-15
510,2019-0079,2019-09-17,2019,9,17,CONDUCTOR,MOTO,MASCULINO,57,2019-09-17
511,2019-0080,2019-09-17,2019,9,17,PEATON,PEATON,MASCULINO,76,2019-09-17
512,2019-0081,2019-09-23,2019,9,23,PEATON,PEATON,MASCULINO,67,2019-10-07
513,2019-0082,2019-09-25,2019,9,25,CICLISTA,BICICLETA,MASCULINO,47,2019-09-25
514,2019-0083,2019-09-26,2019,9,26,CONDUCTOR,AUTO,MASCULINO,73,2019-09-26
515,2019-0084,2019-09-27,2019,9,27,CICLISTA,BICICLETA,FEMENINO,40,2019-09-27
516,2019-0085,2019-10-09,2019,10,9,CICLISTA,BICICLETA,MASCULINO,20,2019-10-09
517,2019-0086,2019-10-15,2019,10,15,CONDUCTOR,MOTO,MASCULINO,29,2019-10-15
518,2019-0087,2019-10-21,2019,10,21,CONDUCTOR,MOTO,MASCULINO,41,2019-10-21
519,2019-0088,2019-10-22,2019,10,22,PEATON,PEATON,MASCULINO,27,2019-10-22
520,2019-0089,2019-10-23,2019,10,23,PEATON,PEATON,FEMENINO,92,2019-10-23
521,2019-0090,2019-10-24,2019,10,24,PEATON,PEATON,MASCULINO,67,2019-10-26
522,2019-0091,2019-11-01,2019,11,1,PEATON,PEATON,MASCULINO,35,2019-11-01
523,2019-0092,2019-11-03,2019,11,3,PEATON,PEATON,MASCULINO,37,2019-11-03
524,2019-0093,2019-11-13,2019,11,13,CICLISTA,BICICLETA,MASCULINO,16,2019-11-13
525,2019-0094,2019-11-18,2019,11,18,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,0,2019-11-18
526,2019-0095,2019-11-20,2019,11,20,CONDUCTOR,MOTO,MASCULINO,0,2019-11-20
527,2019-0096,2019-11-22,2019,11,22,PEATON,PEATON,MASCULINO,73,2019-11-22
